,Title,Genres,Cast,Budget,Revenue,Popularity,Vote_average,Release_decade
0,The Theory of Everything,"['Drama', 'Romance']","['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox', 'Emily Watson', 'Simon McBurney']",15000000,123726688,22.12,7.864,2010s
1,Die Hard,"['Action', 'Thriller']","['Bruce Willis', 'Alan Rickman', 'Alexander Godunov', 'Bonnie Bedelia', 'Reginald VelJohnson']",28000000,140767956,52.121,7.764,1980s
2,Home Alone,"['Comedy', 'Family']","['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara"", 'John Heard']",18000000,476684675,2.289,7.404,1990s
3,Madagascar,"['Family', 'Animation', 'Adventure', 'Comedy']","['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen']",75000000,542063846,93.185,6.884,2000s
4,Minions,"['Family', 'Animation', 'Adventure', 'Comedy']","['Sandra Bullock', 'Jon Hamm', 'Michael Keaton', 'Allison Janney', 'Steve Coogan']",74000000,1156730962,33.933,6.394,2010s
5,Oblivion,"['Action', 'Science Fiction', 'Adventure', 'Mystery']","['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko', 'Andrea Riseborough', 'Nikolaj Coster-Waldau']",120000000,286168572,26.303,6.611,2010s
6,The Matrix Reloaded,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith']",150000000,738599701,41.339,7.034,2000s
7,Fast & Furious 6,"['Action', 'Thriller', 'Crime']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jordana Brewster', 'Michelle Rodriguez']",160000000,788680968,14.552,6.812,2010s
8,Bruce Almighty,"['Fantasy', 'Comedy']","['Jim Carrey', 'Morgan Freeman', 'Jennifer Aniston', 'Philip Baker Hall', 'Catherine Bell']",80000000,484592874,49.024,6.699,2000s
9,Nightcrawler,"['Crime', 'Drama', 'Thriller']","['Jake Gyllenhaal', 'Rene Russo', 'Riz Ahmed', 'Bill Paxton', 'Kevin Rahm']",8500000,50300000,44.654,7.701,2010s
10,Gran Torino,['Drama'],"['Clint Eastwood', 'Christopher Carley', 'Bee Vang', 'Ahney Her', 'Brian Haley']",33000000,269958228,20.518,7.999,2000s
11,Furious 7,"['Action', 'Thriller', 'Crime']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jason Statham', 'Michelle Rodriguez']",190000000,1515341399,122.335,7.232,2010s
12,Casino Royale,"['Adventure', 'Action', 'Thriller']","['Daniel Craig', 'Eva Green', 'Mads Mikkelsen', 'Judi Dench', 'Jeffrey Wright']",150000000,599045960,41.09,7.531,2000s
13,Spectre,"['Action', 'Adventure', 'Thriller']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes', 'Naomie Harris']",245000000,880674609,30.488,6.528,2010s
14,Monsters University,"['Animation', 'Family']","['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Peter Sohn']",200000000,743559607,95.188,7.027,2010s
15,Slumdog Millionaire,"['Drama', 'Romance']","['Dev Patel', 'Saurabh Shukla', 'Anil Kapoor', 'Raj Zutshi', 'Jeneva Talwar']",15000000,378410542,43.442,7.734,2000s
16,The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['Bruce Willis', 'Milla Jovovich', 'Gary Oldman', 'Ian Holm', 'Chris Tucker']",90000000,263920180,52.973,7.524,1990s
17,Limitless,"['Thriller', 'Mystery', 'Science Fiction']","['Bradley Cooper', 'Robert De Niro', 'Abbie Cornish', 'Andrew Howard', 'Anna Friel']",27000000,161849455,50.553,7.182,2010s
18,Pan's Labyrinth,"['Fantasy', 'Drama', 'War']","['Ivana Baquero', 'Maribel Verdú', 'Sergi López', 'Doug Jones', 'Ariadna Gil']",19000000,83258226,32.006,7.752,2000s
19,Saving Private Ryan,"['Drama', 'History', 'War']","['Tom Hanks', 'Tom Sizemore', 'Edward Burns', 'Matt Damon', 'Barry Pepper']",70000000,481840909,84.065,8.207,1990s
20,The Prestige,"['Drama', 'Mystery', 'Science Fiction']","['Hugh Jackman', 'Christian Bale', 'Michael Caine', 'Scarlett Johansson', 'Rebecca Hall']",40000000,109676311,39.109,8.203,2000s
21,X-Men: Days of Future Past,"['Action', 'Adventure', 'Science Fiction']","['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']",250000000,747862775,72.644,7.522,2010s
22,World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz', 'James Badge Dale', 'Ludi Boeken']",200000000,531865000,94.698,6.801,2010s
23,Schindler's List,"['Drama', 'History', 'War']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall']",22000000,321365567,42.346,8.569,1990s
24,Rogue One: A Star Wars Story,"['Action', 'Adventure', 'Science Fiction']","['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen', 'Jiang Wen']",200000000,1056057273,37.696,7.488,2010s
25,Ready Player One,"['Science Fiction', 'Adventure', 'Action']","['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller']",175000000,582890172,82.179,7.613,2010s
